2025-04-23 19:44:37.829 INFO  [Thread-0] o.example.cdshop.CDshopControlThread - 售卖和租借线程各有：5个
2025-04-23 19:44:37.860 INFO  [Thread-18租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:37 CST 2025CD4已借出Thread-18租借线程放弃
2025-04-23 19:44:37.860 INFO  [Thread-17租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:37 CST 2025CD4已借出Thread-17租借线程放弃
2025-04-23 19:44:37.864 INFO  [Thread-16租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:37 CST 2025Thread-16租借线程租到了cd：CD4持有201ms
2025-04-23 19:44:37.864 INFO  [Thread-20租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:37 CST 2025Thread-20租借线程租到了cd：CD2持有244ms
2025-04-23 19:44:37.864 INFO  [Thread-19租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:37 CST 2025Thread-19租借线程租到了cd：CD8持有207ms
2025-04-23 19:44:37.865 INFO  [Thread-12销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:37 CST 2025Thread-12销售线程CD5销售了5剩余5
2025-04-23 19:44:37.865 INFO  [Thread-13销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:37 CST 2025Thread-13销售线程CD6销售了0剩余10
2025-04-23 19:44:37.865 INFO  [Thread-14销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:37 CST 2025Thread-14销售线程CD3销售了2剩余8
2025-04-23 19:44:37.865 INFO  [Thread-11销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:37 CST 2025Thread-11销售线程CD9销售了0剩余10
2025-04-23 19:44:37.865 INFO  [Thread-15销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:37 CST 2025Thread-15销售线程CD9销售了2剩余8
2025-04-23 19:44:37.870 INFO  [Thread-12销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:37 CST 2025Thread-12销售线程睡眠时间178
2025-04-23 19:44:37.870 INFO  [Thread-13销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:37 CST 2025Thread-13销售线程睡眠时间119
2025-04-23 19:44:37.870 INFO  [Thread-15销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:37 CST 2025Thread-15销售线程睡眠时间48
2025-04-23 19:44:37.870 INFO  [Thread-14销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:37 CST 2025Thread-14销售线程睡眠时间193
2025-04-23 19:44:37.870 INFO  [Thread-17租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:37 CST 2025Thread-17租借线程睡眠时间127
2025-04-23 19:44:37.871 INFO  [Thread-11销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:37 CST 2025Thread-11销售线程睡眠时间128
2025-04-23 19:44:37.871 INFO  [Thread-18租借线程] org.example.cdshop.RentThread - Wed Apr 23 19:44:37 CST 2025Thread-18租借线程睡眠时间70
2025-04-23 19:44:37.920 INFO  [Thread-15销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:37 CST 2025Thread-15销售线程CD2销售了2剩余8
2025-04-23 19:44:37.920 INFO  [Thread-15销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:37 CST 2025Thread-15销售线程睡眠时间8
2025-04-23 19:44:37.931 INFO  [Thread-15销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:37 CST 2025Thread-15销售线程CD0销售了0剩余10
2025-04-23 19:44:37.932 INFO  [Thread-15销售线程] org.example.cdshop.SoldThread - Wed Apr 23 19:44:37 CST 2025Thread-15销售线程睡眠时间1
2025-04-23 19:44:37.935 INFO  [Thread-15销售线程] org.example.cdshop.SoldCD - Wed Apr 23 19:44:37 CST 2025Thread-15销售线程CD1销售了2剩余8
